X1,X2,Y,rotation_degrees
0.81189519,-0.19526175,1,0
0.094906203,-0.85442851,1,0
-0.11382384,-0.14677222,1,0
-0.49404691,-1.2177388,-1,0
-0.17452967,-0.94553595,-1,0
-0.52868277,-1.024443,-1,0
1.1914798,-1.24735,1,0
0.44021599,0.3985621,1,0
-0.96651584,1.2243761,-1,0
-1.5065949,-0.59262775,1,0
-1.0225304,0.96768609,-1,0
1.1404832,0.49352922,-1,0
0.27101682,0.059516226,1,0
-0.56283341,1.2944358,-1,0
0.64172966,0.90910488,-1,0
-0.44343653,1.8565236,-1,0
-0.34500318,0.37622553,1,0
0.91398708,0.25968803,-1,0
-1.5271966,-1.0102436,1,0
0.65073082,-1.0813585,-1,0
0.52557096,1.4752495,-1,0
-0.2696773,-1.2835464,-1,0
0.73703791,-0.18313105,1,0
0.42429745,-0.83961724,-1,0
-0.8812422,-1.5902828,-1,0
0.4291805,1.9427791,1,0
-0.83341267,-0.56896174,-1,0
1.24382,0.60810672,-1,0
0.60396429,1.0273918,-1,0
-0.8362056,-0.64989802,1,0
-0.47240411,-0.0198207,1,0
1.2860761,1.0738453,-1,0
-0.26727963,-0.89646162,-1,0
0.16027767,-1.4047891,-1,0
1.3139693,0.11775503,-1,0
-0.99536797,-0.93708522,-1,0
2.0028221,1.2838173,1,0
0.44023972,1.1569716,-1,0
0.096348263,-1.3778462,-1,0
0.46627674,0.28108423,1,0
0.80775287,-0.83143919,1,0
1.9485655,1.0869527,1,0
-0.023656407,-1.0014752,-1,0
-1.0339561,1.0067604,-1,0
-1.7458259,-1.2711615,1,0
-0.37573484,-0.97481747,-1,0
-0.31060713,0.99468996,1,0
2.5261216,1.4978309,1,0
-0.002638012,-1.0179287,-1,0
0.24309143,1.6141856,-1,0
-0.3003515,-1.0362901,-1,0
-0.14783923,-1.3709437,-1,0
-1.2512256,-1.277374,-1,0
0.39549399,0.42339717,1,0
1.9266159,-0.84231887,-1,0
-1.4936222,0.41501319,-1,0
0.14647709,-0.15139108,1,0
1.0966894,0.13123755,-1,0
1.4612621,-1.0604665,1,0
-0.63153317,1.3502004,-1,0
-0.17978052,0.5947293,1,0
-1.198575,-1.4002749,-1,0
0.37725511,0.19833125,1,0
0.90750499,0.12727622,-1,0
-0.2486116,0.023369702,1,0
